,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
7503,I&C Technician,FIELDCORE ,"Kuwait City, Kuwait ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Software Development', 'Software Engineering', 'Computer Engineering', 'Design']"
7504,Cleaning Supervisor - Health Care,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Logistics/Supply Chain', 'Operations/Management', 'logistics', 'administration', 'management', 'supply chain', 'operations', 'hospitality', 'manufacturing']"
7505,Charter Sales Executive - Arabic Speaking / Private Jets,Air Charter Service Canada ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Microsoft Office']"
7506,Associate Business Director - Communications,Leo Burnett ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Care', 'Customer Support']"
7507,Customer Onboarding Specialist – German/French Speaking,Easygenerator ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'customer service', 'customer care', 'customer support', 'sales', 'english', 'german', 'french']"
7508,Safety & Loss Prevention Officer,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Sharjah, United Arab Emirates ",Full Time,Not specified,Quality,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'Engineering', 'Safety', 'Quality', 'Quality Control', 'Health &amp; Safety', 'Quality Assurance', 'HSE']"
7509,National Graduate Training Program - Customer Affairs (Arabic),Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'customer service', 'sales', 'training', 'legal', 'audit']"
7510,Consultant Paediatrician with special interest in Neonatology,Mediclinic International ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'sales', 'sales skills', 'customer support', 'engineering', 'management', 'communication skills', 'medical']"
7511,Senior Revenue Management Analyst (Qatari National),Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Analyst/Research', 'Project Management', 'Analysis', 'Information Technology (IT)', 'Computer Science', 'PMP', 'Management', 'Program Management']"
7512,Hostess,Kempinski Hotels ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Sales/Retail', 'Customer Care', 'Customer Service', 'Customer Support', 'Hospitality', 'Hostess', 'Restaurant', 'Sales']"
7513,"Senior Manager, Cloud Infrastructure Engineering","Procore Technologies, Inc ","Cairo, Egypt ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Cloud', 'Infrastructure', 'Software Development', 'Software Engineering']"
7514,Chemistry Teachers (Male and Female),Lincoln College International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,R&D/Science,"['Writing/Editorial', 'Education/Teaching', 'Education', 'Teaching', 'Chemistry', 'Physics', 'Biology', 'Science', 'Writing']"
7515,Nursery,Kipina Kids Cairo ,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"['Education/Teaching', 'Nursery', 'EYFS', 'Teaching']"
7516,Senior Backend Developer PHP - Laravel ( Remotely ),Confidential ,"Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'backend', 'MySQL', 'Information Technology (IT)', 'Laravel', 'Agile', 'OOP', 'PHP', 'MongoDB']"
7517,Backend Developer PHP - Laravel ( Remotely ),Confidential ,"Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'backend', 'Laravel', 'MongoDB', 'MySQL', 'PHP', 'OOP']"
7518,International Business Developer,The Translation Gate ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Business Development', 'Customer Service/Support', 'Sales/Retail', 'sales', 'Call Center', 'naos', 'teleperformance', 'localization', 'Translation', 'business developer']"
7519,Senior Mechanical engineer,Bainona Engineering Company  ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,8 - 15 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'gulf experience', 'Mechanical Engineering']"
7520,Senior structural engineer,Bainona Engineering Company  ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,8 - 15 Yrs of Exp,"['Engineering - Telecom/Technology', 'ECG', 'BIM Modeling', 'CSI Etabs']"
7521,Account Manager - Females only,RTX for Shipping ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 2 Yrs of Exp,"['females_only', 'Logistics/Supply Chain', 'Account Management', 'Negotiation', 'Customer Service']"
7522,Quantity Surveyor,Confidential ,"Giza, Egypt ",Part Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Quantity', 'AutoCAD', 'English', 'BOQ']"
7523,SEO Creative Writer,Finding From Egy  ,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['females_only', 'Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Content Writing', 'writer', 'creative writer']"
7524,Expert WordPress/Woo-Commerce Developer,Ultimate Solutions Egypt ,"6th of October, Giza, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'HTML', 'CSS', 'javaScript', 'jQuery', 'PHP', 'API', 'AJAX', 'Mysql Database']"
7525,Marketing & Business Development Director,GPS ,"Heliopolis, Cairo, Egypt ",Full Time,Senior Management,20 - 20 Yrs of Exp,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales', 'Leadership', 'Development', 'Creative', 'Telecommunication']"
7526,Payroll Manager,GPS ,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"['Human Resources', 'Payroll', 'Payroll Software', 'Oracle', 'Human Resources (HR)', 'Microsoft Office', 'HRIS', 'SAP', 'MS Office']"
7527,Administration Manager,GPS ,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Administration', 'Administration', 'Business Administration', 'Leadership', 'facilities', 'Office management', 'business']"
7528,HR & Admin Assistant,Micro Engineering ,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 1 Yrs of Exp,"['Administration', 'Human Resources', 'Administration', 'English', 'Human Resources', 'Microsoft Office', 'Recruitment', 'Office management']"
7529,Academic Supervisor October& Zayed,E,"6th of October, Giza, Egypt ",Full Time,Manager,4 - 6 Yrs of Exp,"['Education/Teaching', 'Training/Instructor', 'Education', 'Teaching', 'Communication skills']"
7530,electrical technical office engineer,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Communication', 'Electrical', 'Electrical Engineering', 'Engineering', 'Manufacturing', 'Microsoft Office']"
7531,electrical sales and marketing engineer,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 7 Yrs of Exp,"['Marketing/PR/Advertising', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'Electrical', 'Earthing', 'Electrical Engineering', 'Engineering', 'Sales Engineering', 'Electrical sales', 'lightning']"
7532,Accountant,Confidential ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Manufacturing/Production', 'Accounting', 'excel', 'Finance', 'Financial Analysis', 'GAAP', 'MS Excel', 'Accounting Software']"
7533,Accountant,Easy copy ,"Haram, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"['Accounting/Finance', 'Accounting', 'excel', 'General Ledger', 'Finance', 'Accounting Software']"
7534,Manufacturing Engineer,Easy copy ,"Haram, Giza, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering - Other', 'Hardware Maintenance', 'Manufacturing', 'Engineering', 'Technical Support']"
7535,Senior technical office engineer - earthing and lightning scope,Confidential ,"Cairo, Egypt ",Full Time,Experienced,3 - 9 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'AutoCAD', '2D', 'CAD', 'Microsoft Office', 'Technical Office', 'Drawing', 'Engineering', 'English']"
7536,Receptionist,El,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,Administration,"['Administration', 'Office management', 'receptionist']"
7537,General Practitioner,Confidential ,"Abu Rawash, Giza, Egypt ",Part Time,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Medical/Healthcare', 'Health', 'General practitioner', 'Medical', 'Healthcare', 'MEDICINE']"
7538,HR Recruiter,"My Truck Logistics, LLC   ","Alexandria, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Human Resources', 'Logistics/Supply Chain', 'HR', 'HR administrator', 'HR Manager', 'Human Resources', 'Recruitment', 'Remote', 'Work from Home']"
7539,HR Manager,"My Truck Logistics, LLC   ","Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Human Resources', 'Logistics/Supply Chain', 'HR', 'HR administrator', 'HR Manager', 'Human Resources', 'Recruitment', 'Remote', 'Work from Home']"
7540,Front Desk Agent (october),SYE English Community ,"6th of October, Giza, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Administration', 'Customer Service', 'Customer Care', 'Customer Support', 'Administration', 'Admin', 'Operations', 'Sales', 'Microsoft Office', 'English']"
7541,Front Desk Agent (Nasr city),SYE English Community ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Administration', 'Customer Service', 'Customer Care', 'Customer Support', 'Administration', 'Admin', 'Operations', 'Sales', 'Microsoft Office', 'English']"
7542,Front Desk Agent (Dokki),SYE English Community ,"Dokki, Giza, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Administration', 'Customer Service', 'Customer Care', 'Customer Support', 'Administration', 'Admin', 'Operations', 'Sales', 'Microsoft Office', 'English']"
7543,Logistics Sales Manager,"My Truck Logistics, LLC   ","Cairo, Egypt ",Full Time,Manager,2 - 10 Yrs of Exp,"['Logistics/Supply Chain', 'Operations/Management', 'Sales/Retail', 'Logistics Management', 'Sales Management', 'Sales', 'Manager', 'Hauling', 'Trucking', 'Remote']"
7544,Health & Safety Consultant,Confidential ,"Sheraton, Cairo, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"['males_only', 'Engineering - Construction/Civil/Architecture', 'Engineering - Other', 'HSE', 'Safety', 'Health', 'Health & safety']"
7545,Telesales Agent,SYE English Community ,"Dokki, Giza, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Telesales', 'Sales Target', 'Selling', 'negotiation skills', 'Telemarketing', 'Negotiation']"
7546,Accounting Manager,Global For Elevators and Esclators ,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Accounting/Finance', 'Accounting', 'Finance', 'Financial Analysis', 'SAP', 'reports']"
7547,SEO Project Manager / Digital Marketing Manager,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,7+ Yrs of Exp,"['Marketing/PR/Advertising', 'Project/Program Management', 'Marketing', 'Digital Marketing', 'SEO', 'HTML', 'WordPress', 'CSS', 'Google Analytics']"
7548,Junior Accountant,Safa International Travel ,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['males_only', 'Accounting/Finance', 'Microsoft Office', 'OTA', 'Accounting', 'Finance', 'Financial Management', 'Financial Analysis', 'E-Commerce', 'Computer Skills', 'English']"
7549,Finance Manager,Confidential ,"Katameya, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"['Accounting/Finance', 'Operations/Management', 'Finance', 'Financial', 'Financial Analysis', 'CFA', 'CMA', 'CPA', 'Reporting', 'MBA']"
7550,Barista,People Dynamics ,"Doha, Qatar ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'Sales/Retail', 'Hospitality', 'Customer Service', 'Food Services', 'Hotel', 'barista', 'waiter']"
7551,Head of Commercial,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Manager,15+ Yrs of Exp,"['Logistics/Supply Chain', 'Freight Forwarding', 'Commercial', 'Logistics', 'Sales', 'Management', 'Commercial Director', 'Marketing', 'Shipping Line', 'FCL Shipping']"
7552,Housekeeping Attendant,DAMAC Hills 2 Hotel ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'administration', 'hospitality', 'housekeeping', 'hotels', 'customer service', 'maintenance', 'hotel']"
7553,"Immigration Coordinator - Riyadh, Saudi Arabia",Move One Inc. ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'microsoft office', 'customer care', 'customer support', 'sales', 'operations', 'customer service', 'legal']"
7554,"Agent, Guest Experience",Kerzner International Management ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'Customer Care', 'Customer Service', 'Customer Support', 'Guest Relations', 'Hospitality', 'Tourism', 'Administration']"
7555,Catering Sales Executive,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Cairo, Egypt ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Microsoft Office']"
7556,Hematologist,Johns Hopkins Aramco Healthcare ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['healthcare', 'medical']"
7557,Hostess,DAMAC Properties ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Sales/Retail', 'Customer Care', 'Customer Service', 'Customer Support', 'Hospitality', 'Hostess', 'Restaurant', 'Sales']"
7558,Senior Officer - General Services,Roads and Transport Authority ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Human Resources', 'Microsoft Office', 'Finance', 'Accounting', 'Business Administration', 'Administration', 'Human Resources (HR)', 'Commerce']"
